时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8
1487336368292,26.25HZ ,262.45HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,1.83,-1.48,0.54,1.00,0.02,-0.01,0.00,-1.52,0.61,-0.27,0.00,0.00,0.00,-0.17,0.07,-0.03,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336368754,26.22HZ ,262.24HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,2.15,-1.51,0.72,1.00,0.02,-0.01,0.01,-1.53,0.75,-0.35,0.00,0.00,0.00,-0.17,0.09,-0.04,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336369227,26.25HZ ,262.46HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,2.25,-1.42,0.70,1.00,0.02,-0.01,0.01,-2.20,0.64,-0.08,0.00,0.00,0.00,-0.25,0.07,-0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336369690,25.72HZ ,257.16HZ ,-1.00,0.00,0.00,0.00,-1.00,0.00,2.26,-1.43,1.05,1.00,0.02,-0.01,0.01,-1.74,0.74,-0.22,-0.03,-2.00,0.08,-0.20,0.09,-0.03,,1476,1454,1524,1476,1481,1527,1449,1476,endOfFrame
1487336370153,25.70HZ ,256.95HZ ,0.00,-1.00,-4.00,0.00,0.00,0.00,2.68,-1.56,1.16,1.00,0.02,-0.01,0.01,-1.59,0.32,-2.88,0.00,0.00,0.00,-0.18,0.04,-0.33,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336370619,26.09HZ ,260.86HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,2.15,-1.48,1.19,1.00,0.02,-0.01,0.01,-1.48,0.92,-1.06,0.00,0.00,0.00,-0.17,0.11,-0.12,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336371080,26.10HZ ,260.99HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,1.30,-1.41,1.04,1.00,0.01,-0.01,0.01,-2.42,0.30,-0.65,0.00,0.00,0.00,-0.26,0.03,-0.07,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336371546,26.16HZ ,261.58HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-5.67,-1.68,1.64,1.00,-0.04,-0.02,0.01,-0.82,1.19,-0.05,0.00,0.00,0.00,-0.06,0.13,-0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336372011,26.09HZ ,260.92HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-11.75,-1.99,2.41,1.00,-0.10,-0.02,0.02,2.80,0.33,-1.53,0.00,0.00,0.00,0.35,0.04,-0.17,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336372467,26.14HZ ,261.44HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-15.97,-2.20,2.42,0.99,-0.14,-0.02,0.02,5.95,0.85,-1.14,0.00,0.00,0.00,0.70,0.10,-0.13,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336372932,26.18HZ ,261.84HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-19.84,-1.84,2.33,0.99,-0.17,-0.02,0.02,6.90,1.18,-1.87,0.00,0.00,0.00,0.81,0.13,-0.21,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336373391,26.13HZ ,261.34HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-19.67,-1.75,2.54,0.98,-0.17,-0.02,0.02,10.42,0.63,-1.17,0.00,0.00,0.00,1.18,0.07,-0.13,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336373854,26.31HZ ,263.05HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-15.34,-1.54,2.20,0.99,-0.14,-0.02,0.02,9.59,0.41,-1.65,0.00,0.00,0.00,1.08,0.05,-0.19,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336374316,26.20HZ ,261.96HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-9.45,-1.31,1.78,1.00,-0.09,-0.01,0.02,8.16,0.26,-1.70,0.00,0.00,0.00,0.91,0.03,-0.19,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1487336374776,26.17HZ ,261.67HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-5.22,-0.86,1.45,1.00,-0.05,-0.01,0.01,6.60,0.52,-0.96,0.00,0.00,0.00,0.72,0.06,-0.11,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
