时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8
1488276969846,42.37HZ ,211.83HZ ,-1.00,-3.00,-1.00,0.00,0.00,0.00,1.27,-3.20,-42.44,0.94,-0.00,-0.03,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.27,4.47,,1830,1171,1152,1776,1180,1827,1808,1121,endOfFrame
1488276970165,1.64HZ ,8.22HZ ,0.00,0.00,0.00,0.00,0.00,0.00,2.42,-0.24,15.28,0.99,0.02,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.06,0.08,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276970470,42.85HZ ,214.24HZ ,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.20,13.01,0.99,0.02,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.11,0.11,,1476,1490,1490,1496,1460,1490,1490,1476,endOfFrame
1488276970731,42.62HZ ,213.12HZ ,0.00,0.00,0.00,0.00,0.00,0.00,1.88,-0.95,10.01,1.00,0.02,-0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.05,-0.07,0.11,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276970953,42.84HZ ,214.18HZ ,0.00,0.00,0.00,0.00,-1.00,0.00,1.96,-0.87,6.69,1.00,0.02,-0.01,0.06,0.00,0.00,0.00,-0.12,-0.99,0.04,0.00,0.14,0.20,,1476,1452,1490,1507,1455,1519,1490,1476,endOfFrame
1488276971241,42.03HZ ,210.13HZ ,0.00,0.00,0.00,0.00,-1.00,0.00,1.86,-0.38,2.92,1.00,0.02,-0.01,0.03,0.00,0.00,0.00,-0.05,-1.00,0.03,0.08,0.05,0.12,,1476,1452,1490,1476,1481,1490,1490,1476,endOfFrame
1488276971533,41.98HZ ,209.89HZ ,0.00,0.00,0.00,0.00,-1.00,0.00,0.39,-0.36,6.56,1.00,0.00,-0.01,0.04,0.00,0.00,0.00,-0.08,-1.00,0.00,-0.04,0.00,-0.19,,1476,1490,1519,1476,1481,1490,1453,1476,endOfFrame
1488276971847,42.06HZ ,210.30HZ ,0.00,0.00,0.00,0.00,-1.00,0.00,0.15,0.14,11.28,1.00,0.01,-0.00,0.10,0.00,0.00,0.00,-0.19,-0.98,0.01,0.10,-0.10,0.11,,1476,1455,1490,1476,1481,1490,1490,1454,endOfFrame
1488276972174,42.51HZ ,212.57HZ ,0.00,0.00,3.00,0.00,0.00,0.00,-0.77,0.21,5.11,1.00,-0.01,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.35,,1502,1454,1490,1500,1456,1490,1525,1449,endOfFrame
1488276972453,42.86HZ ,214.29HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,-0.13,0.80,0.86,1.00,-0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.04,0.05,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276972729,42.74HZ ,213.69HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.09,1.43,3.76,1.00,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,-0.05,-0.39,,1447,1537,1490,1447,1509,1490,1442,1504,endOfFrame
1488276972964,42.83HZ ,214.15HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,2.77,1.64,10.55,1.00,0.02,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.05,-0.24,,1476,1490,1524,1476,1481,1455,1490,1476,endOfFrame
1488276973234,42.72HZ ,213.58HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,4.04,1.41,10.24,1.00,0.02,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,0.04,0.15,,1476,1490,1459,1496,1460,1520,1490,1476,endOfFrame
1488276973514,42.85HZ ,214.25HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.75,-0.59,6.26,1.00,0.02,-0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276973790,42.84HZ ,214.22HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,2.36,-2.13,2.25,1.00,0.02,-0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.12,,1476,1463,1490,1476,1481,1490,1516,1476,endOfFrame
1488276974127,42.74HZ ,213.69HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,0.75,-2.32,2.25,1.00,0.00,-0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,-0.02,-0.15,,1476,1517,1490,1476,1481,1490,1462,1476,endOfFrame
1488276974428,42.82HZ ,214.09HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.15,-3.17,6.39,1.00,0.01,-0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.09,-0.09,-0.42,,1456,1514,1527,1433,1523,1452,1465,1476,endOfFrame
1488276974700,42.71HZ ,213.57HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,2.41,-1.82,11.70,0.99,0.02,-0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.19,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276974917,42.60HZ ,213.00HZ ,0.00,0.00,5.00,-1.00,0.00,0.00,3.27,-0.20,14.37,0.99,0.02,-0.01,0.12,0.00,0.00,0.00,-0.97,0.24,0.01,-0.20,-0.14,0.00,,1503,1513,1465,1448,1481,1514,1465,1476,endOfFrame
1488276975261,42.58HZ ,212.90HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,3.08,0.47,13.51,0.99,0.03,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.13,,1476,1468,1490,1476,1481,1490,1511,1476,endOfFrame
1488276975563,41.93HZ ,209.65HZ ,0.00,0.00,-1.00,-1.00,0.00,0.00,2.01,1.61,10.41,0.99,0.02,0.01,0.10,0.00,0.00,0.00,-0.98,0.19,-0.03,0.17,0.04,0.16,,1507,1459,1490,1476,1450,1490,1519,1476,endOfFrame
1488276975868,41.89HZ ,209.45HZ ,0.00,0.00,-1.00,-1.00,0.00,0.00,-0.54,1.24,8.72,1.00,-0.00,0.01,0.07,0.00,0.00,0.00,-0.99,0.15,-0.02,0.07,0.03,-0.12,,1476,1490,1490,1449,1481,1490,1490,1504,endOfFrame
1488276976143,41.89HZ ,209.46HZ ,0.00,0.00,-1.00,-1.00,0.00,0.00,-0.31,2.11,10.12,1.00,-0.00,0.02,0.09,0.00,0.00,0.00,-0.98,0.17,-0.03,0.06,0.03,-0.08,,1476,1490,1490,1451,1481,1490,1490,1501,endOfFrame
1488276976420,41.90HZ ,209.51HZ ,0.00,0.00,-1.00,-1.00,0.00,0.00,0.27,1.66,11.73,0.99,-0.00,0.01,0.10,0.00,0.00,0.00,-0.98,0.20,-0.03,-0.10,0.02,-0.02,,1476,1490,1490,1476,1458,1490,1490,1500,endOfFrame
1488276976716,42.33HZ ,211.63HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.77,1.51,13.30,0.99,0.01,0.02,0.11,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,0.06,-0.06,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276977002,42.72HZ ,213.61HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,3.20,-0.07,14.30,0.99,0.03,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.03,-0.05,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276977247,42.65HZ ,213.25HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,2.06,-1.00,14.78,0.99,0.02,-0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.13,-0.02,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276977510,42.65HZ ,213.24HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.22,-2.04,14.45,0.99,0.02,-0.02,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.10,-0.01,-0.00,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276977784,42.66HZ ,213.31HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,0.66,-2.50,13.56,0.99,0.01,-0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.05,0.06,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276978134,42.63HZ ,213.15HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,0.73,-1.57,12.20,0.99,0.01,-0.02,0.11,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.04,0.09,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276978432,42.64HZ ,213.20HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,2.21,-0.93,10.31,1.00,0.02,-0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.08,0.05,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276978696,42.51HZ ,212.56HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,2.55,1.09,8.08,1.00,0.02,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,-0.07,0.13,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276978988,42.53HZ ,212.64HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,2.30,1.52,5.17,1.00,0.02,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.06,0.13,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276979272,42.59HZ ,212.93HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,1.05,2.21,1.91,1.00,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.17,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276979566,42.45HZ ,212.25HZ ,-1.00,-1.00,-1.00,0.00,0.00,0.00,-0.13,1.45,-1.99,1.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.19,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276979820,42.31HZ ,211.57HZ ,-1.00,-1.00,-1.00,0.00,0.00,0.00,-0.04,0.85,-6.02,1.00,-0.00,0.01,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.23,,1476,1470,1490,1501,1455,1490,1490,1476,endOfFrame
1488276980084,41.72HZ ,208.59HZ ,-1.00,-1.00,-1.00,-1.00,0.00,0.00,1.24,0.73,-10.50,1.00,0.01,0.01,-0.09,0.00,0.00,0.00,-0.99,-0.17,-0.01,-0.06,0.07,0.26,,1503,1467,1490,1476,1436,1521,1490,1476,endOfFrame
1488276980437,41.80HZ ,209.02HZ ,0.00,-1.00,-1.00,-1.00,0.00,0.00,2.27,0.83,-12.22,0.99,0.02,0.00,-0.11,0.00,0.00,0.00,-0.98,-0.22,-0.01,-0.05,0.07,-0.07,,1476,1490,1490,1476,1460,1490,1490,1506,endOfFrame
1488276980710,41.85HZ ,209.23HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,3.40,0.20,-8.03,1.00,0.03,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,0.08,-0.35,,1439,1525,1490,1476,1481,1490,1454,1512,endOfFrame
1488276980946,42.67HZ ,213.33HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,2.86,-0.48,-3.63,1.00,0.02,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,-0.16,,1476,1490,1490,1476,1481,1470,1490,1476,endOfFrame
1488276981232,41.83HZ ,209.16HZ ,0.00,-1.00,-1.00,0.00,-1.00,0.00,1.66,-1.32,-0.90,1.00,0.02,-0.01,-0.01,0.00,0.00,0.00,0.03,-1.00,0.04,0.00,-0.02,0.03,,1476,1469,1490,1476,1481,1510,1490,1476,endOfFrame
1488276981507,42.37HZ ,211.86HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,0.99,-1.71,-2.15,1.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,-0.02,0.11,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276981781,42.56HZ ,212.78HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,1.03,0.55,-3.03,1.00,0.01,-0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.10,-0.29,-0.45,,1476,1520,1524,1412,1544,1455,1459,1476,endOfFrame
1488276982072,42.79HZ ,213.95HZ ,0.00,-1.00,3.00,0.00,0.00,0.00,2.07,-2.61,16.34,0.99,0.02,-0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.01,-0.25,,1455,1510,1490,1476,1481,1490,1469,1496,endOfFrame
1488276982326,42.72HZ ,213.62HZ ,0.00,-1.00,-1.00,0.00,-1.00,0.00,5.26,3.40,12.34,0.99,0.04,0.03,0.12,0.00,0.00,0.00,-0.24,-0.97,0.07,-0.07,0.17,0.75,,1512,1417,1451,1551,1408,1564,1523,1440,endOfFrame
1488276982617,42.56HZ ,212.79HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,1.44,1.23,2.96,1.00,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-0.09,-0.08,,1476,1517,1490,1476,1481,1490,1462,1476,endOfFrame
1488276982897,42.64HZ ,213.19HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,-0.62,-0.31,6.65,1.00,-0.01,-0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.07,-0.26,,1476,1451,1566,1449,1507,1413,1528,1476,endOfFrame
1488276983216,42.68HZ ,213.40HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,-0.24,0.04,10.27,1.00,-0.02,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.16,-0.12,,1449,1490,1490,1476,1481,1490,1490,1502,endOfFrame
1488276983547,42.60HZ ,212.99HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,-3.00,0.75,9.37,1.00,-0.02,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,-0.11,0.10,,1476,1490,1467,1476,1481,1512,1490,1476,endOfFrame
1488276983834,42.66HZ ,213.30HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,1.83,-0.99,5.03,1.00,0.01,-0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.18,0.14,,1505,1490,1490,1476,1481,1490,1490,1446,endOfFrame
1488276984072,42.61HZ ,213.05HZ ,0.00,-1.00,-1.00,0.00,0.00,0.00,3.40,2.01,4.03,1.00,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.17,-0.13,,1445,1511,1490,1476,1481,1490,1468,1506,endOfFrame
1488276984336,42.63HZ ,213.15HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,3.74,0.64,8.57,1.00,0.03,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.09,-0.14,-0.34,,1476,1490,1519,1434,1522,1460,1470,1476,endOfFrame
1488276984626,42.76HZ ,213.82HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,1.98,0.27,13.76,0.99,0.02,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.13,-0.23,,1450,1490,1528,1476,1481,1451,1490,1501,endOfFrame
1488276984939,42.79HZ ,213.96HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-0.34,0.32,15.28,0.99,-0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.02,0.10,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276985174,42.75HZ ,213.75HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-1.28,-0.48,11.19,0.99,-0.01,-0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,0.05,0.23,,1476,1490,1468,1498,1458,1511,1490,1476,endOfFrame
1488276985439,42.87HZ ,214.37HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,-0.53,-0.20,4.05,1.00,-0.01,-0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.04,0.25,,1476,1490,1456,1502,1454,1523,1490,1476,endOfFrame
1488276985711,42.77HZ ,213.87HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,1.01,0.60,4.03,1.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.00,-0.19,,1476,1519,1490,1476,1481,1490,1460,1476,endOfFrame
1488276986049,42.91HZ ,214.53HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,2.52,0.91,11.40,1.00,0.02,0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.01,-0.39,,1443,1528,1490,1451,1505,1490,1451,1508,endOfFrame
1488276986380,42.67HZ ,213.37HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,3.53,0.77,13.87,0.99,0.03,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.04,0.05,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276986659,42.76HZ ,213.79HZ ,0.00,-1.00,0.00,0.00,0.00,0.00,2.85,1.29,9.65,0.99,0.03,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.28,,1476,1462,1490,1513,1443,1490,1517,1476,endOfFrame
