时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8,
1.48829E+12,39.07HZ ,195.37HZ ,0,0,0,0,0,0,0.6,-0.31,19.29,0.99,0.01,0,0.17,-0.01,0,-0.34,0,0,0,-0.01,0,-0.18,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,1.36HZ ,6.78HZ ,0,0,0,0,-1,0,0.2,2.08,19.79,0.98,0,0.02,0.17,0,-0.04,-0.34,-0.34,-0.94,-0.01,-0.13,-0.07,-0.43,,1449,1517,1526,1438,1514,1490,1424,1505,endOfFrame
1.48829E+12,38.18HZ ,190.92HZ ,0,0,0,0,-1,0,0.6,1.31,22.65,0.98,0,0.02,0.19,0,-0.03,-0.38,-0.38,-0.93,0,-0.12,-0.02,-0.11,,1476,1490,1490,1476,1481,1513,1450,1476,endOfFrame
1.48829E+12,38.10HZ ,190.50HZ ,0,0,0,0,-1,0,1.49,0.73,18.21,0.98,0.01,0.01,0.18,-0.02,-0.02,-0.36,-0.35,-0.94,0.01,-0.02,-0.02,0.1,,1476,1465,1490,1476,1481,1518,1490,1476,endOfFrame
1.48829E+12,38.07HZ ,190.36HZ ,0,0,0,0,-1,0,0.4,0.44,10.48,0.99,0.01,0,0.11,-0.01,-0.01,-0.23,-0.23,-0.97,0.01,0.05,-0.03,0.33,,1503,1442,1490,1496,1461,1528,1490,1447,endOfFrame
1.48829E+12,38.08HZ ,190.40HZ ,0,0,0,0,-1,0,2.21,-0.26,3.24,1,0.01,0,0.04,-0.03,0,-0.08,-0.08,-1,0.03,-0.02,0.09,0.2,,1476,1455,1490,1503,1460,1522,1490,1476,endOfFrame
1.48829E+12,37.73HZ ,188.67HZ ,0,0,0,0,-1,0,1.25,0.24,-0.47,1,0.01,0,0,-0.03,0,0,0,-1,0.03,0.08,-0.04,0.13,,1476,1454,1490,1476,1481,1510,1490,1455,endOfFrame
1.48829E+12,37.95HZ ,189.76HZ ,0,0,0,0,-1,0,0.09,0.44,0.31,1,0,0.01,0,0,-0.01,0,0,-1,0,-0.02,0.04,-0.15,,1455,1490,1518,1476,1481,1490,1459,1476,endOfFrame
1.48829E+12,38.06HZ ,190.30HZ ,0,0,0,0,-1,0,0.94,0.64,3.55,1,0.01,0.01,0.03,-0.02,-0.01,-0.06,-0.06,-1,0.02,-0.03,-0.09,-0.2,,1476,1490,1517,1476,1507,1490,1451,1476,endOfFrame
1.48829E+12,38.05HZ ,190.23HZ ,0,0,0,0,-1,0,1.01,1.54,6.38,1,0.01,0.01,0.05,-0.02,-0.03,-0.09,-0.09,-1,0.02,0.04,0.01,-0.06,,1476,1470,1517,1476,1481,1490,1490,1476,endOfFrame
